question_id,paraphrase_consistency,retest_consistency,overall_consistency_score,version_answers
arith_add_001,1.0,0.8888888888888888,0.9444444444444444,"{'direct': 115.0, 'contextualized': 115.0, 'variation': 115.0}"
arith_add_002,1.0,1.0,1.0,"{'direct': 984.0, 'contextualized': 984.0, 'variation': 984.0}"
arith_sub_001,1.0,1.0,1.0,"{'direct': 42.0, 'contextualized': 42.0, 'variation': 42.0}"
arith_sub_002,1.0,0.8888888888888888,0.9444444444444444,"{'direct': 443.0, 'contextualized': 443.0, 'variation': 443.0}"
arith_mul_001,1.0,1.0,1.0,"{'direct': 2328.0, 'contextualized': 2328.0, 'variation': 2328.0}"
arith_mul_002,0.67,0.7777777777777777,0.7238888888888888,"{'direct': 2574.0, 'contextualized': 2584.0, 'variation': 2574.0}"
arith_div_001,1.0,0.8888888888888888,0.9444444444444444,"{'direct': 12.0, 'contextualized': 12.0, 'variation': 12.0}"
arith_div_002,1.0,1.0,1.0,"{'direct': 15.0, 'contextualized': 15.0, 'variation': 15.0}"
arith_div_003,1.0,0.7777777777777777,0.8888888888888888,"{'direct': 19.91, 'contextualized': 19.91, 'variation': 19.91}"
arith_div_004,1.0,1.0,1.0,"{'direct': 45.0, 'contextualized': 45.0, 'variation': 45.0}"
