question_id,version,ground_truth,extracted,response,error_type
arith_div_001,direct,11.0,,,no_answer_found
arith_div_001,direct,11.0,,,no_answer_found
arith_div_001,contextualized,11.0,,,no_answer_found
arith_div_001,contextualized,11.0,,,no_answer_found
arith_div_001,variation,11.0,,,no_answer_found
arith_div_001,variation,11.0,,,no_answer_found
arith_div_002,direct,25.0,,,no_answer_found
arith_div_002,direct,25.0,,,no_answer_found
arith_div_002,contextualized,25.0,,,no_answer_found
arith_div_002,contextualized,25.0,,,no_answer_found
arith_div_002,variation,25.0,,,no_answer_found
arith_div_002,variation,25.0,,,no_answer_found
arith_div_003,direct,12.21,,,no_answer_found
arith_div_003,direct,12.21,,,no_answer_found
arith_div_003,contextualized,12.21,,,no_answer_found
arith_div_003,contextualized,12.21,,,no_answer_found
arith_div_003,variation,12.21,,,no_answer_found
arith_div_003,variation,12.21,,,no_answer_found
